year,per capita income (US$)
1970.0,3399.299037
1971.0,3768.297935
1972.0,4251.175484
1973.0,4804.463248
1974.0,5576.514583
1975.0,5998.144346
1976.0,7062.131392
1977.0,7100.12617
1978.0,7247.967035
1979.0,7602.912681
1980.0,8355.96812
1981.0,9434.390652
1982.0,9619.438377
1983.0,10416.53659
1984.0,10790.32872
1985.0,11018.95585
1986.0,11482.89153
1987.0,12974.80662
1988.0,15080.28345
1989.0,16426.72548
1990.0,16838.6732
1991.0,17266.09769
1992.0,16412.08309
1993.0,15875.58673
1994.0,15755.82027
1995.0,16369.31725
1996.0,16699.82668
1997.0,17310.75775
1998.0,16622.67187
1999.0,17581.02414
2000.0,18987.38241
2001.0,18601.39724
2002.0,19232.17556
2003.0,22739.42628
2004.0,25719.14715
2005.0,29198.05569
2006.0,32738.2629
2007.0,36144.48122
2008.0,37446.48609
2009.0,32755.17682
2010.0,38420.52289
2011.0,42334.71121
2012.0,42665.25597
2013.0,42676.46837
2014.0,41039.8936
2015.0,35175.18898
2016.0,34229.19363
2023.0,43774.08932008571
